"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm"
"ENSG00000170374",147.823281179115,10.3294724496559,1.60192708436094e-06,0.000171468108252103,"SP7","protein_coding",2.8436325409785
"ENSG00000263489",124.435861796391,10.0810538373062,1.12369933961751e-06,0.000127681057784129,"AC127029.2","lncRNA",2.40308178749527
"ENSG00000124491",7680.72438492701,9.96733102682809,3.71289933707334e-07,5.48444737410227e-05,"F13A1","protein_coding",142.884278535257
"ENSG00000182676",214.150506439478,9.90091337455036,5.93914745621473e-13,5.06129577643653e-10,"PPP1R27","protein_coding",4.00370649336181
"ENSG00000197588",205.634857765518,9.84240520250453,4.58723777119578e-06,0.00040655770918554,"KLKP1","transcribed_unprocessed_pseudogene",3.90061666671741
"ENSG00000283376",103.548451237192,9.81583292994224,0.00045480293219294,0.0126037010899611,"AC011591.2","unitary_pseudogene",1.95753362730518
"ENSG00000214814",102.49027780077,9.80120336814711,4.00686217458325e-06,0.000365349980256137,"FER1L6","protein_coding",1.92714343201289
"ENSG00000185761",90.7028619461856,9.62497997341389,4.99319762707764e-07,6.62190550069184e-05,"ADAMTSL5","protein_coding",1.77745852450438
"ENSG00000198768",854.231075183784,9.52626008046145,3.90096659085183e-08,8.59003671325347e-06,"APCDD1L","protein_coding",13.5312611430966
"ENSG00000204542",695.274225722056,9.47816872956997,7.86931542024385e-08,1.54301258200304e-05,"C6orf15","protein_coding",13.6821091812701
"ENSG00000229563",78.7365638750539,9.42107068173063,1.85488527911991e-07,3.16143793303537e-05,"LINC01204","lncRNA",1.46796309917718
"ENSG00000175793",75.6989985546285,9.36402541454637,2.45503766652877e-07,4.05942310278193e-05,"SFN","protein_coding",1.48536752334747
"ENSG00000187908",5019.45812077242,9.32344699323076,5.10587858518414e-09,1.48856515542007e-06,"DMBT1","protein_coding",96.7364553952756
"ENSG00000099812",265.771748052668,9.258048566937,5.8599537542513e-07,7.54877879842709e-05,"MISP","protein_coding",5.2539252437892
"ENSG00000060558",135.744182232339,9.24231462695984,1.48037093212933e-08,3.77018146473444e-06,"GNA15","protein_coding",2.53759053198836
"ENSG00000275216",481.914107524604,9.21692286891188,6.2763125187676e-07,7.90137820899623e-05,"AL161431.1","lncRNA",9.63906598040458
"ENSG00000162894",67.2313115074792,9.19279669443017,0.000739364641270106,0.0178596441891515,"FCMR","protein_coding",1.30673293147624
"ENSG00000197046",130.454385539848,9.18447882028703,1.42890115124062e-06,0.000155196876509992,"SIGLEC15","protein_coding",2.06287266902844
"ENSG00000133067",66.572558146061,9.1788380792007,8.23329335592731e-06,0.000639393336446088,"LGR6","protein_coding",1.28864527991619
"ENSG00000249357",65.474594591256,9.15462342158644,0.000862724884234553,0.0198321250387049,NA,NA,1.24744676580687
"ENSG00000133063",63.8938416978955,9.11967439830576,7.47295494038629e-06,0.000597755460700863,"CHIT1","protein_coding",1.20877523480584
"ENSG00000229953",62.8691043934382,9.0964720455029,1.35937476129553e-07,2.44875338097765e-05,"AL590666.2","lncRNA",1.2144154802754
"ENSG00000142910",62.3705122687054,9.08498867100025,7.42867982872392e-07,9.04380543763934e-05,"TINAGL1","protein_coding",1.18700495359778
"ENSG00000249156",62.2785513942609,9.0824364446375,0.000950377195733822,0.0212273261349539,"TAF11L12","protein_coding",1.185322165329
"ENSG00000162896",61.7761575577809,9.07065922868323,0.00136455250362614,0.0271891994809751,"PIGR","protein_coding",1.24531138265006
"ENSG00000148680",61.3767929215651,9.06048959549778,1.22851195943682e-05,0.000853295908628266,"HTR7","protein_coding",0.969383798460146
"ENSG00000185860",118.640928207927,9.04751579339858,5.76760676323363e-06,0.000491511011742183,"CCDC190","protein_coding",2.33416792170503
"ENSG00000182578",60.420889329977,9.03767282100244,4.30293317820497e-07,6.06840799892531e-05,"CSF1R","protein_coding",0.982990459160438
"ENSG00000110628",57.6186972417067,8.97080764934184,1.67176336767547e-09,5.69865552885928e-07,"SLC22A18","protein_coding",1.08793065277503
"ENSG00000154133",591.458660267184,8.96383916937433,5.55743880915479e-09,1.59917106096679e-06,"ROBO4","protein_coding",11.7422970689819
"ENSG00000131746",56.9610111539552,8.95359328241786,0.00162971192060976,0.0308620923235226,"TNS4","protein_coding",1.14954054611886
"ENSG00000236393",56.2727071522704,8.93666210757763,1.32808655250581e-07,2.41200112654682e-05,"AC091806.1","lncRNA",1.08219782880438
"ENSG00000271605",53.9551650310331,8.87619426605106,1.70110255762355e-09,5.71080748019168e-07,"MILR1","protein_coding",0.999048579091245
"ENSG00000237515",53.6148583872841,8.86637471207126,0.00123970131157166,0.0254098630531853,"SHISA9","protein_coding",1.01951329272077
"ENSG00000135046",1227.84745397346,8.84911621883295,2.87539970281815e-16,4.90078701656476e-13,"ANXA1","protein_coding",20.4402640294896
"ENSG00000172232",53.0027531999432,8.84871512054275,1.00031886721898e-05,0.000729081090163517,"AZU1","protein_coding",0.845001588431858
"ENSG00000009950",52.4142443559174,8.83384618498777,3.25120504205556e-05,0.00176129462388325,"MLXIPL","protein_coding",1.04201043652275
"ENSG00000184922",426.011197187891,8.79866143712017,2.95019698316268e-07,4.60334609548841e-05,"FMNL1","protein_coding",8.43170205928938
"ENSG00000225614",51.1650416067036,8.79789461445801,1.23378302923775e-07,2.29722105704377e-05,"ZNF469","protein_coding",0.891958111885661
"ENSG00000267279",99.6758981850084,8.79647945862794,4.15498519988305e-08,9.02568696802047e-06,"AC090409.1","lncRNA",1.91793214857539
"ENSG00000168334",3921.88800187429,8.76274900507815,2.78221583194536e-10,1.10081350336452e-07,"XIRP1","protein_coding",76.0423836412669
"ENSG00000145040",95.411337208034,8.73224862487311,1.20588935473831e-05,0.000845534507371419,"UCN2","protein_coding",1.51871029762837
"ENSG00000163762",47.1353858144773,8.68063612881395,0.000121015611062708,0.0047123776701519,"TM4SF18","protein_coding",0.948778836458156
"ENSG00000123342",167.692529103238,8.65756909749665,2.60473043899062e-12,2.06117901202554e-09,"MMP19","protein_coding",2.96492083794028
"ENSG00000162892",1215.45650139292,8.62917819229815,5.15775344592708e-06,0.000446407590239869,"IL24","protein_coding",23.4489554553257
"ENSG00000125740",2516.82068100338,8.62809464538614,7.30591043719945e-13,5.99544657618623e-10,"FOSB","protein_coding",40.2956884693618
"ENSG00000167656",45.3283013093911,8.62420335510078,0.00159063717156102,0.0303302476852647,"LY6D","protein_coding",0.864837877481365
"ENSG00000099860",1079.00996211176,8.59914742704257,3.96477788324635e-24,1.46412639265149e-20,"GADD45B","protein_coding",19.7978706037204
"ENSG00000128564",156.589299731129,8.59489661811368,1.83983118796269e-08,4.63240223087379e-06,"VGF","protein_coding",2.54027810023668
"ENSG00000160932",86.6543527631027,8.59467097350028,1.89684450096267e-09,6.18064464821026e-07,"LY6E","protein_coding",1.59202113625106
