"","pathway","pval","padj","ES","NES"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000999000999000999,0.00264830508474576,0.672086053622872,1.78330823297664
"2","HALLMARK_HYPOXIA",0.000999000999000999,0.00264830508474576,0.51808643841158,1.37546087901703
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.4269889224572,0.640483383685801,0.409249896718567,1.04426586569872
"4","HALLMARK_MITOTIC_SPINDLE",0.976023976023976,0.999000999000999,0.285262244186118,0.757211875650198
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.588357588357588,0.807272727272727,0.389017416992132,0.959602663494494
"6","HALLMARK_TGF_BETA_SIGNALING",0.0974358974358974,0.18543956043956,0.509012574872727,1.26850574824821
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00100502512562814,0.00264830508474576,0.666297808223413,1.71010709657584
"8","HALLMARK_DNA_REPAIR",NA,NA,-0.247608763965233,NA
"9","HALLMARK_G2M_CHECKPOINT",NA,NA,-0.33549142063445,NA
"10","HALLMARK_APOPTOSIS",0.000999000999000999,0.00264830508474576,0.596379556284453,1.57143717435987
"11","HALLMARK_NOTCH_SIGNALING",0.928495197438634,0.999000999000999,0.276135881940554,0.657016921502117
"12","HALLMARK_ADIPOGENESIS",0.999000999000999,0.999000999000999,0.234529454647971,0.622544665018275
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000999000999000999,0.00264830508474576,0.50014752412358,1.32733368226819
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0989010989010989,0.18543956043956,0.435725065847901,1.15680075301409
"15","HALLMARK_ANDROGEN_RESPONSE",0.733199598796389,0.9426851984525,0.345959226859469,0.895523761352756
"16","HALLMARK_MYOGENESIS",0.000999000999000999,0.00264830508474576,0.581993301113293,1.54447670637176
"17","HALLMARK_PROTEIN_SECRETION",0.99197592778335,0.999000999000999,0.216292866120751,0.559879274735757
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00100401606425703,0.00264830508474576,0.640345868155698,1.6534200341966
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000999000999000999,0.00264830508474576,0.627379047745253,1.66383996900243
"20","HALLMARK_APICAL_JUNCTION",0.000999000999000999,0.00264830508474576,0.547635126161311,1.45390930193011
"21","HALLMARK_APICAL_SURFACE",0.135610766045549,0.23471094123268,0.504134717006725,1.24554443296053
"22","HALLMARK_HEDGEHOG_SIGNALING",0.106203995793901,0.191167192429022,0.533773016076138,1.28395250603813
"23","HALLMARK_COMPLEMENT",0.000999000999000999,0.00264830508474576,0.547811406842007,1.4524269651815
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.8687374749499,0.999000999000999,0.313774098166533,0.814577030987171
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.973947895791583,0.999000999000999,0.263656640876229,0.682716466860261
"26","HALLMARK_MTORC1_SIGNALING",0.978021978021978,0.999000999000999,0.280448331102484,0.744433626058579
