"","pathway","pval","padj","ES","NES"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000999000999000999,0.0030820770519263,0.670248672275834,1.77869242814149
"2","HALLMARK_HYPOXIA",0.002997002997003,0.00765900765900766,0.520156942305867,1.37964464455382
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.442986881937437,0.727764163182932,0.407304088483029,1.0401064646179
"4","HALLMARK_MITOTIC_SPINDLE",0.971028971028971,0.996003996003996,0.279549917868,0.741863942096338
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.813347236704901,0.984578233905933,0.330224905788544,0.799229450873372
"6","HALLMARK_TGF_BETA_SIGNALING",0.104187946884576,0.199693564862104,0.505253364895974,1.25799677390986
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00100401606425703,0.0030820770519263,0.657265742586344,1.68946343086751
"8","HALLMARK_DNA_REPAIR",0.5,0.741935483870968,-0.228019547688701,-1.32055437394953
"9","HALLMARK_G2M_CHECKPOINT",NA,NA,-0.313829124447351,NA
"10","HALLMARK_APOPTOSIS",0.000999000999000999,0.0030820770519263,0.598495830866011,1.57767602786757
"11","HALLMARK_NOTCH_SIGNALING",0.671428571428571,0.882448979591837,-0.245873015518144,-0.91121404450817
"12","HALLMARK_ADIPOGENESIS",0.996003996003996,0.996003996003996,0.243236336262671,0.645593378238878
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.002997002997003,0.00765900765900766,0.506681963460581,1.34482588214114
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.040959040959041,0.0856416310961765,0.451631155716156,1.19794061984961
"15","HALLMARK_ANDROGEN_RESPONSE",0.575727181544634,0.827607823470411,0.374144014331134,0.970969796351521
"16","HALLMARK_MYOGENESIS",0.000999000999000999,0.0030820770519263,0.583075992169303,1.54736876683449
"17","HALLMARK_PROTEIN_SECRETION",0.975903614457831,0.996003996003996,0.248614894802117,0.644216220711068
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00100502512562814,0.0030820770519263,0.636599006638292,1.64845451116486
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000999000999000999,0.0030820770519263,0.626476320648776,1.66086360810102
"20","HALLMARK_APICAL_JUNCTION",0.000999000999000999,0.0030820770519263,0.528674837424212,1.40298663641125
